screen_name,description
wizkhalifa,Taylor Gang
aliciakeys,"Passionate about my work, in love with my family and dedicated to spreading light. It's contagious! ;-) http://incommon.aliciakeys.com"
FCBarcelona,"More official accounts @fcbarcelona_cat @fcbarcelona_es @fcbarcelona_br @fcbarcelona_jp @fcbarcelona_id, @fcbarcelona_ara @fcbarcelona_fra @fcbarcelona_tr"
MonsterEnergy,"#UnleashTheBeast http://Facebook.com/MonsterEnergy http://Instagram.com/MonsterEnergy 
http://snapchat.com/add/monsterenergy
http://MonsterEnergy.com"
LouisVuitton,The official Twitter page for Louis Vuitton Worldwide. Contact client services at @LVServices for customer assistance and personalised advice.
MazdaUSA,#DrivingMatters
gmail,"News, tips and tricks from the Gmail team. Need help? Fly on over to our Help Center or forum."
MTV,? tweets by @kaitiii | snapchat: mtv
maroon5,"This is the Official Twitter page for Maroon 5
@adamlevine @jamesbvalentine @JRCarmichael and @pjmorton. #V out now! http://smarturl.it/M5V"
TheRock,Dude.
MesutOzil1088,Football player for @arsenal & @DFB_Team
RockstarGames,"The official home of Rockstar Games on Twitter. Publishers of such popular games as Grand Theft Auto, Max Payne, Red Dead Redemption, L.A. Noire, Bully & more."
adidasoriginals,Three Stripes. Past. Present. Future.
coldplay,"New album, A Head Full Of Dreams, out now worldwide. #AHFODtour runs through 2016. Spanish language account: @coldplay_es"
FiatChrysler_NA,"Fiat Chrysler Automobiles tweets by Mike Driehorst (^MD), Betty Newman (^BN), Dale Jewett (^DJ), Ed Cardenas (^EC)."
Dior,
GarethBale11,Footballer. @realmadrid and @FAWales. Instagram - http://Instagram.com/garethbale11
nikestore,Your online provider for Nike products worldwide.
Eminem,Southpaw: Music From and Inspired by the Motion Picture: http://smarturl.it/SouthpawMusic
AvrilLavigne,Get 'Avril Lavigne' on iTunes now: http://avrl.la/alitunes
Hyundai,We believe making better cars starts by putting ordinary in the backseat and people in the driver’s seat. Follow us for news from the road.
andresiniesta8,"FC Barcelona player. 
Born in Fuentealbilla 11 May 1984"
kourtneykardash,Heartless
BrunoMars,
10Ronaldinho,Página oficial do jogador Ronaldinho Gaúcho. Duas vezes eleito o melhor do mundo pela FIFA. ronaldinho@jokercom.com
Skype,The latest news and updates from the team at Skype. Follow the link below to discover all the wonderful things Skype has to offer.
3gerardpique,FCBarcelona | Football Player
AppleMusic,All the ways you love music. All in one place.
XabiAlonso,Cuenta oficial de Xabi Alonso
iamwill,#WHEREStheLOVE August 31st.
MileyCyrus,Miley Cyrus & Her Dead Petz out now fo freeeeeee mothaaaa fuckazzz!
CHANEL,"CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel"
RafaelNadal,Tennis player.
EA,"Official Twitter account for EA. Follow for updates on all your favorite EA games. For account help, visit http://help.ea.com or Tweet @AskEASupport."
FerrariUSA,"The Official Twitter feed of Ferrari North America. Follow us for up-to-date, news, events & information."
PUMA,"Since 1948, PUMA has changed the game with speed, spontaneity, and performance innovation. Get a behind the scenes look at all things #ForeverFaster."
mitsucars,Welcome to the official Twitter page of Mitsubishi Motors North America.  Making spirited cars for spirited people since 1917.
onedirection,1D's album Made in the A.M. is OUT NOW: http://smarturl.it/1DmitamDXiT |
kobebryant,CEO Kobe Inc. Publisher. Investor. Producer.
Persie_Official,@Fenerbahce
FIFAWorldCup,Updates for Russia 2018 provided by the Official Site of the FIFA World Cup
dolcegabbana,
BMWUSAnews,"Your official BMW USA feed, delivering the latest BMW USA news, announcements + events in real-time via BMW Group’s Corporate Communications Team"
KendallJenner,Model • The Society Management // Elite Paris // Elite London // Elite Milan
CalvinHarris,Music producer
khloekardashian,Get my official app #unlockmyworld http://AppStore.com/KhloeKardashian
armani,http://Armani.com
ManUtd,Official account of Manchester United FC ??
vine,Vine is an entertainment community where things happen fast. Sign up for #beyondtheVine at the link below!
AppStore,
CalvinKlein,"Calvin Klein is a global lifestyle brand that exemplifies bold, progressive ideals and a seductive, and often minimal, aesthetic."
facebook,Giving people the power to share and make the world more open and connected.
googlemaps,Photographic dispatches from Planet Earth.
DavidLuiz_4,Enjoy the life!
RamTrucks,"The Official Twitter of Ram Trucks. 
 
http://facebook.com/RamTrucks
http://instagram.com/RamTrucks"
Buick,Experience a different kind of luxury. Discover more at
Pharrell,@i_am_OTHER
redbull,#givesyouwings
KylieJenner,http://thekyliejenner.com http://appstore.com/KylieJenner
ParisHilton,My new fragrance #GoldRush is now available ?
adidasfootball,"Fast is good. But nothing beats first. X16, ACE16 and Messi16 from the Speed of Light pack. Available now. #FirstNeverFollows"
ChelseaFC,The official Twitter account of Chelsea FC. For enquiries visit: http://che.lc/iBt6ES
RobertDowneyJr,You know who I am.
UEFAcom,http://UEFA.com - The official website for European football. Bringing you the latest from across Europe.
Guaje7Villa,Jugador del @NYCFC / @NYCFCEspanol
jessicaalba,"Mom of 2, Founder of The Honest Company, amateur chef, terrible speller, loyal friend, hilarious at times... I play make believe for a living"
EuropaLeague,The official home of the UEFA Europa League on Twitter. #UEL
INFINITIUSA,"INFINITI USA Official Twitter account for news, info and events. Empower the drive. For Customer Service Inquiries, please contact @InfinitiCare."
DaniAlvesD2,"Dani Alves!! ( Juazeiro, Bahia, Brasil, 6 de maio de 1983),ATLETA PROFISSIONAL! Clube actual Juventus F.C Facebook: http://www.facebook.com/DaniAlvesD2"
MariahCarey,New album #1toInfinity out now!
realmadriden,"Official Twitter account of Real Madrid C.F. ESPAÑOL @realmadrid, FRANÇAIS @realmadridfra, ??????? @realmadridarab, ??? @realmadridjapan."
Ubisoft,Because we love games and so do you! Welcome to the official Ubisoft Twitter feed.
Arsenal,"The official club website brings you all the latest #Arsenal news, views and ticket information from Emirates Stadium

Follow:
@OfficialAFC_ID
@OfficialAFC_ES"
nikefootball,Never stop playing. Live the game with the Nike Football App: http://nike.com/footballapp
Carles5puyol,"Carles Puyol , born in La Pobla de Segur on April 13th, 1978. My facebook is http://www.facebook.com/puyol5carles"
Harry_Styles,Raconteur.  http://smarturl.it/1DmitamDXiT
DjokerNole,"Laugh as long as you breathe, love as long as you live!"
Versace,"Founded by Gianni Versace in 1978, Versace is one of the world's leading international fashion brands and is a symbol of Italian style worldwide."
FCBarcelona_es,"Toda la actualidad y la información del FC Barcelona, Más que un club. Twitter oficial del FC Barcelona en español."
cesc4official,Proud dad of 2 beautiful baby girls. 29 years old. Central Midfielder for @ChelseaFC & @SEFutbol. Instagram: cescf4bregas Snapchat: cescky4
jamesdrodriguez,"Colombiano, jugador del Real Madrid C. F. y Selección Colombia, Bienvenidos. Hijo de Dios. #colombiasomostodos
Si crees en ti, ni el cielo será tu límite."
Kia,Welcome to the official Kia Motors America Twitter account. Love your Kia? Tell us! Have any questions? Ask them! We are here for you.
LuisSuarez9,"F.C. Barcelona player. Born in Salto, Uruguay 24 January 1987"
aguerosergiokun,Argentino. Títulos: Premier League Man City 2012 y 2014/Europa League y Supercopa 2010 con el Atleti/Mundial Sub 20 2005 y 2007 y JJ.OO. 2008 con la Selección
edsheeran,x
CasillasWorld,http://Instagram.com/ikercasillasoficial
D_DeGea,
ParamountPics,Welcome to the Official Twitter Page for Paramount Pictures.
TwitterMusic,Music related Tweets from around the world.
wbpictures,Welcome to the official Twitter page for Warner Bros. Pictures.
FALCAO,Jugador profesional de fútbol.  Seguidor de Jesús.
Usher,Look through my eyes and witness life as I see it. Pre-order #HardIILove
CocaCola,
UniversalPics,Welcome to Universal Pictures via Twitter!
lindsaylohan,Artist. Instagram: @lindsaylohan https://www.facebook.com/LindsayLohan http://lindsaylohan.tumblr.com/
McDonalds,Welcome to the McDonald’s USA Twitter page! Customer Service: @Reachout_mcd - Global questions: @McDonaldsCorp
NiallOfficial,Made in the AM ' out now ... http://smarturl.it/1DmitamDXiT
LMFAO,Sorry For Party Rocking..... Ya B*tch!!
victoriabeckham,The Official Twitter page for Victoria Beckham
juanmata8,Twitter oficial del jugador del @ManUtd_ES y de la selección española / Official Twitter account of @ManUtd 's player
Beyonce,
rioferdy5,Official Twitter account of Rio Ferdinand / Media Enquiries - info@neweraglobalsports.com / http://Instagram.com/rioferdy5 / SC - rioferdyfive
MarceloM12,Don't ask me about my tattoos! VIVAZ Instagram: MARCELOTWELVE Facebook: Marcelo M12
InteractiveJag,The Official Jaguar USA Corporate Communications Twitter Page
LiamPayne,Payne enterprises
ToniKroos,"Official Twitter of Toni Kroos. Football player @RealMadrid @DFB_Team. @FIFAWorldCup winner 2014 / @ChampionsLeague winner 2013, 2016. My foundation @TKStiftung"
Vevo,The official Twitter for Vevo. Get our free app: https://bnc.lt/WmIe/HTI47Z36mo Add us on Snapchat: http://www.snapchat.com/add/vevomusic
ZacEfron,
20thcenturyfox,Welcome to the Official Twitter page for 20th Century Fox.
koenigsegg,Official Koenigsegg Twitter Feed
MINI,"Designed for the urban experience since 1959. Tweet your stories, pictures and more. Imprint: http://www.mini.com/imprint"
kelly_clarkson,I am Kelly.
Marvel,"The official Twitter for Marvel Comics, Movies, Games and more."
Ferrari,"Official account of #Ferrari, 
Italian Excellence that makes the world dream."
G_Higuain,Esta es mi cuenta oficial.Hasta la victoria siempre.Gracias. Instagram Oficial : ghiguain20_9
ashleytisdale,"Actress, producer, singer, professional illuminator. Shop #IlluminateByAshley:"
TwitterSports,Official Account run by the Global Sports Team @Twitter.
Louis_Tomlinson,"1/4 of One Direction :) We would be nowhere without our incredible fans, we owe it all to you."
official_flo,#MyHouse Available for download now! http://smarturl.it/MyHouseEP booking: freezy@imgstrongarm.com IMG/STRONGARM
bep,#WHERESTHELOVE
LFC,"Official worldwide account of Liverpool FC, England's most successful club with 41 major honours #LFC"
tiesto,Your Love with DallasK is out now: https://musical-freedom.lnk.to/YourLove
carlyraejepsen,E•MO•TION Side B out now!
firefox,go forth and internet freely
hazardeden10,Chelsea FC
Mascherano,http://www.facebook.com/Javier14Mascherano
NICKIMINAJ,https://itun.es/us/AYao5
MTVNews,ahaaahaAhahaaha lmao @333333333433333
chrisbrown,Official Chris Brown Twitter #GrassAintGreener is available everywhere now! http://smarturl.it/iGAG?IQid=tw
Akon,"Official Twitter account for Artist, Producer, Songwriter, Actor and Philanthropist, AKON For bookings Live@Konlive.com"
DisneyStudios,"The official Twitter for Walt Disney Studios where we can share news, videos, pics, and more from upcoming films with our fans!"
SonyPictures,Welcome to the Official Twitter Page for Sony Pictures. Watch trailers and more at http://YouTube.com/SonyPictures
WarnerBrosEnt,Welcome to the official Twitter page for Warner Bros. Entertainment.
pepsi,"Enjoy a taste of Pepsi's world with an exclusive look into music, sports, and entertainment. http://Pepsi.com
Follow us on Instagram @Pepsi"
ManCity,The official Manchester City Twitter – Supporter Enquiries @ManCityHelp – Snapchat mcfcofficial http://manc.it/citysnapchat
MarioGoetze,
usainbolt,Anything is possible I don't think limits
Manuel_Neuer,"Hier twittere ich Themen zum FC Bayern, der Nationalmannschaft und vieles mehr rund um den Fußball."
Jumpman23,Soul. Performance. Style.    #WEAREJORDAN
SergioRamos,"Cuenta oficial de Sergio Ramos. Capitán del Real Madrid C. F. y de la Selección Española de Fútbol. Corazón, carácter y pasión. IG: SR4Oficial"
BSchweinsteiger,Official Twitter account of Bastian Schweinsteiger - football player for @ManUtd.
YouTubeTrends,
Benzema,Football player - @equipedefrance @realmadrid
isco_alarcon,JUGADOR DEL REAL MADRID! Instagram iscoalarcon
JohnCena,The 15x Champ is Here on Twitter! See me Tuesday nights on #SmackdownLIVE on @USA_Network! #NeverGiveUp
elliegoulding,Do you want my heart between your teeth?
_Pedro17_,Bienvenidos a mi cuenta oficial en Twitter / Welcome to my official Twitter account #CFC
21LVA,Manchester City and Spanish international player.
hm,"Welcome to H&M's official Twitter account. For customer service, please tweet @hm_custserv or visit http://www.hm.com/contact."
VictoriaJustice,Never take anything for granted & treat others the way you want to be treated.  Snapchat= victoriajustice
IGGYAZALEA,#TEAM http://smarturl.it/iIggyTeam
Office,"Learn, see, do and explore more of what the world has to offer. Unleash your ideas with #Office."
NeYoCompound,N O N - F I C T I O N / / / snapchat: NEYO1979 http://Instagram.com/NEYO
FCBayern,"Offizielle Seite des #FCBayern
Intl: @FCBayernEN | @FCBayernES | @FCBayernUS | @FCBayernAR
Fans: @FCBayern_FB | Nachwuchs: @FCBjuniorteam | Frauen: @FCBfrauen"
billboard,"The world's most popular music charts, news, videos & more | @hot100fest @billboardbiz @billboarddance @billboardlatin | Tweets by @stefffles & @leslierichin"
1victorvaldes,Goalkeeper of Middlesbrough FC & Co-Founder of Tramontana Ventures
Ibra_official,Official Twitter account of Swedish footballer Zlatan Ibrahimovic managed by Zlatan & his management
Disney,The official Twitter for Disney. Don’t miss a minute of the magic.
nikesportswear,Sport Style Innovation
SkySports,"The official Sky Sports Twitter account. Bringing you the latest sports news, 24-7."
FinallyMario,Official twitter page for Mario Balotelli! AC MILAN & ITALIA striker? Don't believe anything you read about me unless is coming from here?
Torres,Bienvenidos a mi perfil oficial en Twitter / Welcome to my official Twitter profile https://Instagram.com/fernandotorres https://www.facebook.com/Torres
andy_murray,I play tennis.
YTCreators,#ContentGoals
linkinpark,
officialpepe,Bem-vindos ao meu perfil oficial de Twitter.
IGN,"Reviews, previews, trailers, and videos that make you "
VanessaHudgens,
BBVAworld,"Canal oficial de todos los territorios de BBVA: fútbol, NBA, tenis, alpinismo, gastronomía y mucho más"
WWE,"The official Twitter feed of WWE and its Superstars featuring the latest breaking news, photos, features and videos from http://WWE.com."
nickjonas,#LastYearWasComplicated is out now! Get it on @iTunes here:  http://smarturl.it/LastYearComplicated
aarbeloa17,"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful."
HARDWELL,DJ/Producer | Label: @RevealedRec | Radioshow: @HardwellOnAir | snapchat: HARDWELL
EASPORTSFIFA,"Rated (E) for Everyone. Official EA SPORTS account for the FIFA franchise. By tweeting to us you're consenting its use in any media, including TV."
MartinGarrix,#InTheNameOfLove OUT NOW ??? Bookings: katarina@aceagency.com MGMT: info@scooterbraun.com hello@watsematter.com
esmuellert_,Offizieller Twitter-Account von Fußball-Nationalspieler Thomas Müller
SpinninRecords,Chicco Secci & CRISTIAN MARCHI 'Remãta' is out now! Get it here: https://spinninrecords.lnk.to/Remata!TwitterSR
luisnani,"The official twitter account of Nani, professional football player at @Valenciacf"
oscar8,Twitter oficial do jogador Oscar! Oscar's Official twitter.
woodyinho,Official Account of Marco Reus - German Football Player
AustinMahone,#AustinMahoneSendItWayUp IS OUT NOW http://mahone.us/SendItWayUp add me on Snapchat YungMahone
raphaelvarane,Compte Twitter Officiel de Raphaël Varane - Joueur de football professionnel en Équipe de France - Club Real Madrid
steveaoki,I'll Sleep When I'm Dead now streaming on Netflix! Vote Steve Aoki for DJ Mag Top 100: http://smarturl.it/VoteAoki2016
BurgerKing,The official Tweets of Burger King USA.
nikesoccer,Never stop playing. Live the game with the new Nike Soccer App: http://nike.com/soccerapp
channingtatum,Actor - Producer
MirandaCosgrove,I cant complain but sometimes I still do
Converse,Since 1908
Reebok,"We're here to tell great stories, show you awesome new gear, and celebrate every single personal record! Tweet us, we tweet back!"
ChrisEvans,
SkyFootball,The official account for Sky Sports Football
BVB,Offizieller Twitter-Account von Borussia Dortmund // Official Borussia Dortmund Twitter account #bvb #echteliebe
acmilan,"#ACMilan's official Twitter page: news & updates from the Club, live match, behind-the-scenes stories and much more! @acmilanyouth"
Lakers,Official Twitter Feed of the Los Angeles Lakers. #GoLakers
MiamiHEAT,The official Twitter account of the Miami HEAT
CallofDuty,"Official Call of Duty® Twitter page. ESRB Rating: MATURE with Blood and Gore, Drug Reference, Intense Violence, Strong Language, and Suggestive Themes."
EASPORTS,"Welcome to the official EA SPORTS Twitter page! By Tweeting to us you're consenting its use in any media, including TV. For support issues, follow @AskEASupport"
steam_games,"Steam, The Ultimate Online Game Platform. Follow us here for news on the latest releases and special promotions."
themichaelowen,The Official Twitter Account of Michael Owen
nickyromero,Next Generation DJ/Producer // Label Owner: @ProtocolRec // Weekly Radio Show: @ProtocolRadio // #Ready2Rumble is out! ? http://prot.cl/R2RTw
sneijder101010,Welcome to my official twitter page. From now on I will keep everyone personally up to date with things that are happening in my life! Wesley Sneijder
MrAncelotti,
Fabio_Coentrao,Welcome to my official Twitter account.
jk_rowling,Author
Podolski10,News von und mit Lukas Podolski. Schaut auch auf meine Homepage: http://www.Lukas-Podolski.com Snapchat: Lukas10Podolski
afrojack,Gone' is out now!!!
NicoleScherzy,"When you are born in a world you don't fit in, it's because you were born to help create a new one."
onedrive,"Keep all your files and photos in OneDrive. Access and share them from your phone, tablet, and computer."
nvidia,The official Twitter channel for all NVIDIA news. Blog: http://blogs.nvidia.com Support: http://nvda.ly/DfKXi / All NVIDIA Social Media: http://nvda.ly/DfKUA
AlvaroMorata,Perfil oficial de Álvaro Morata. Instagram: http://Instagram.com/alvaromorata Facebook: http://Facebook.com/alvaromorata
jennettemccurdy,prince charming.
zaynmalik,"fuck whoever tells you no ! do you, be proud and love lots ! :) http://smarturl.it/CruelVideo"
RitaOra,RITA X ADIDAS - OUT NOW  http://m.adidas.co.uk/originals_by_rita_ora
Avengers,"The official account for all things @Marvel's Avengers. See #Avengers #AgeOfUltron, now on Digital HD, @DisneyAnywhere, and Blu-ray!"
Outlook,http://Outlook.com and the Outlook app are designed to keep you connected and productive on the go. http://outl.ms/e23fs
Skrillex,your friend • insta / snap: Skrillex
kfc,Kentucky Fried Chicken. Founded by The Colonel. Practitioners of The Hard Way. Purveyors of the World's Best Chicken.
deadmau5,not a team player.
DaniCarvajal92,
LanaDelRey,Reputation is what men and women think of us; character is what God and angels know of us.
joejonas,Lead Singer In @DNCE DEBUT EP - SWAAY - OUT NOW SNAPCHAT: JOSEADAM
MirandaKerr,This is the official Miranda Kerr twitter account. Enjoy xxx
JeseRodriguez10,Cuenta oficial de Jesé Rodríguez. Jugador del Paris Saint-Germain y de la Selección Española. Instagram - jeserodriguez10
Pirlo_official,Nato a Flero (BS) il 19 Maggio 1979   Centrocampista New York City FC PAGINA UFFICIALE
RealPaulWalker,"Outdoorsman, ocean addict, adrenaline junkie... and I do some acting on the side. - PW ---This profile is run by Team PW. http://www.facebook.com/paulwalker"
nikebasketball,Bringing innovation and inspiration to the game. #BringYourGame
Fergie,M.I.L.F. $ ... ? https://www.smarturl.it/MILFMoney    #MILFMONEY
Thiago6,1991. @FCBayern and @SeFutbol http://facebook.com/thiago6alcantara/ business enquiries or Say Hi! -- contact@thiagoalcantara6.com
GNev2,Attack The Day
MGM_Studios,Welcome to the Official Twitter Page for MGM Studios.  Follow us on tumblr: http://www.MGM90th.com | Instagram: http://www.instagram.com/mgm_studios
CherLloyd,http://cherlloyd.co/ActivatediTunes
Andre_Schuerrle,Official Twitter Account of André Schürrle! Borussia Dortmund
JessieJ,"Singer, Songwriter. Insta: isthatjessiej"
TheRealAC3,Footballer for @LAGalaxy. Instagram http://Instagram.com/theofficialac3 @NikeUK Athlete
DW_Pictures,Welcome to the official Twitter page for DreamWorks Pictures.
assassinscreed,"ESRB Rating: TEEN to MATURE with Blood and Gore, Crude Humor, Drug Reference, Intense Violence, Sexual Content, Strong Language, Use of Alcohol"
swedishousemfia,SHM is • Sebastian Ingrosso @ingrosso • Axwell @Axwell • Steve Angello @SteveAngello
FCBarcelona_cat,"Tota l'actualitat i la informació del FC Barcelona, Més que un club. Twitter oficial del FC Barcelona en català."
Zedd,shave it up!
KLM,Official global account of KLM. We are here 24/7 for service in 13 languages. Share personal details only in private messages!
Pele,http://Facebook.com/Pele
MicrosoftStore,The official Twitter page for Microsoft retail and online stores.
TheXFactor,Official X Factor UK. @replies & tweets with #XFactor or #XtraFactorLive may be used on air or online. Full terms @ http://www.itv.com/terms/
5SOS,we will be there soon... SOUNDS LIVE FEELS LIVE! http://5sos.com/live | @ashton5sos @calum5sos @michael5sos @luke5sos @HiOrHeyRecords snap: wearefivesos
chicagobulls,Official Twitter account of the 6-time World Champion Chicago Bulls.
DiegoForlan7,"Uruguayo, Campeón de América 2011, mejor jugador del Mundial 2010, Doble Bota de Oro, Campeón Europa League, Supercampeón de Europa..."
LaLiga,Twitter oficial de LaLiga Santander y LaLiga 1l2l3 | Follow @LaLigaEN in English. http://www.laliga.es http://facebook.com/LaLiga http://Instagram.com/laliga
googleearth,
PSG_inside,Le twitter officiel du Paris Saint-Germain. @PSG_English @PSG_Sverige @PSGIndonesia @PSGBrasil @PSG_Arab @PSG_Espanol
HilaryDuff,"mummy,singer,actress,lover,friend"
Atleti,Twitter Oficial del Club Atlético de Madrid #AúpaAtleti | Do you speak english? Follow @AtletiEnglish! | Tu parles français? Follow @AtletiFr!
juventusfc,"Profilo Twitter ufficiale della Juventus. Seguiteci anche su @juventusfcen, @juventusfces, @juventusfcid, @juventusfcjp e @juventusfcar"
gianluigibuffon,Portiere della Juventus e della Nazionale Italiana
ufc,#UFCHamburg: Arlovski vs Barnett | September 3 | LIVE on @UFCFightPass
PochoLavezzi,Ezequiel 'El Pocho' Lavezzi's Official Profile.  http://instagram.com/pocho22lavezzi http://facebook.com/EzequielLavezziOfficialPage
tomorrowland,"Live Today, Love Tomorrow, Unite Forever. #Tomorrowland"
DCComics,"The official home of Batman, Superman, Wonder Woman, Green Lantern, The Flash and the rest of The World's Greatest Super Heroes!"
DWAnimation,Follow for the latest updates on DreamWorks Animation!
FA,The governing body of English football. Our accounts: @England | @EmiratesFACup | @FAWSL | @WomensFACup | @WembleyStadium | @StGeorgesPark
RandyOrton,12 x World Champion
