screen_name,name,description,,,,,,,,,,,,,
karanjohar,Karan Johar,Filmmaker....,,,,,,,,,,,,,
sonakshisinha,AKIRA/Sonakshi Sinha,"Shotgun Junior! Instagram: aslisona, Snapchat: aslisonasnap",,,,,,,,,,,,,
hrw,Human Rights Watch,"We provide timely information on #humanrights crises in 90+ countries. Curated by @jimmurphysf, @astroehlein & @snorthfield45 Staff list https://twitter.com/hrw/lists/our-people",,,,,,,,,,,,,
TheVijayMallya,Vijay Mallya,"Former Member of Parliament, India, Chairman, The UB Group, Co-owner & Team Principal Sahara Force India Formula 1",,,,,,,,,,,,,
timesofindia,Times of India,"News. Views. Analyses. Conversations. India’s No.1 digital news destination, world’s largest-selling English newspaper.",,,,,,,,,,,,,
googlenexus,Nexus,Phones and tablets from Google.,,,,,,,,,,,,,
RNTata2000,Ratan N. Tata,"Former Chairman of Tata Group. Personal interests : - aviation, automobiles, scuba diving and architectural design.",,,,,,,,,,,,,
RollsRoyce,Rolls-Royce,Trusted to deliver excellence.,,,,,,,,,,,,,
Asli_Jacqueline,Jacqueline Fernandez,Actress,,,,,,,,,,,,,
Support,Twitter Support,"We Tweet tips and tricks to help you boost your Twitter skills and keep your account secure. For detailed help, visit http://support.twitter.com.",,,,,,,,,,,,,
WHO,WHO,"Official Twitter account of the World Health Organization, the United Nations' health agency",,,,,,,,,,,,,
WhatsApp,WhatsApp Inc.,WhatsApp Messenger - an amazing SMS replacement app!,,,,,,,,,,,,,
OMGFacts,OMG Facts,#TheMoreYouKnow,,,,,,,,,,,,,
NatGeoPhotos,Nat Geo Photography,All things photography from National Geographic. Like us on Facebook: http://www.facebook.com/natgeophotos,,,,,,,,,,,,,
TwitterMovies,Twitter Movies,"Your backstage pass to your favorite movie stars. We Tweet the best of film on Twitter, from movie sets to the red carpet.",,,,,,,,,,,,,
AnupamPkher,Anupam Kher,Actor/Teacher/Author/Motivational Speaker/@UN_Women Champion of Gender Equality @HeForShe,,,,,,,,,,,,,
HISTORY,HISTORY,Official HISTORY® Twitter. The leading destination for award-winning original series and specials.,,,,,,,,,,,,,
WhatTheFFacts,What The F*** Facts,All (& only) things that make you say WTF. Official Account of What The F*** Facts.,,,,,,,,,,,,,
ABdeVilliers17,AB de Villiers,"Professional Cricket player
Proudly South African",,,,,,,,,,,,,
googleresearch,Google Research,"At Google, research is performed company wide; we conduct and leverage research to build large-scale systems that are used in the real world.",,,,,,,,,,,,,
ImRaina,Suresh Raina,"Cricket is my Passion, Fans are my Strength and Family is my Support",,,,,,,,,,,,,
ShraddhaKapoor,Shraddha Kapoor,Living the dream!,,,,,,,,,,,,,
UNHumanRights,UN Human Rights,The United Nations #HumanRights office is led by High Commissioner #Zeid,,,,,,,,,,,,,
ndtv,NDTV,Breaking news alerts from India,,,,,,,,,,,,,
twittertv,Twitter TV,TV related tweets from our couch.,,,,,,,,,,,,,
bipsluvurself,Bipasha Basu,An Actor & fitness enthusiast who believes in the philosophy of ''Love Yourself... Watch this space for the real me.,,,,,,,,,,,,,
IMDb,IMDb,"The folks at IMDb talking about movies, TV and celebrities.",,,,,,,,,,,,,
Citi,Citi,Serving as a trusted partner to our clients by responsibly providing financial services that enable growth & economic progress. Customer service: @AskCiti,,,,,,,,,,,,,
ajaydevgn,Ajay Devgn,"strong beliefs win strong men, and then make them stronger. @ShivaayTheFilm",,,,,,,,,,,,,
Dropbox,Dropbox,"Dropbox works the way you do. 
Need support? @DropboxSupport.
Part of a team? @DropboxBusiness.",,,,,,,,,,,,,
chetan_bhagat,Chetan Bhagat,The CB family!,,,,,,,,,,,,,
TheSlyStallone,Sylvester Stallone,"Actor, writer, director, artist. Instagram: @officialslystallone",,,,,,,,,,,,,
TurkishAirlines,Turkish Airlines,Thanks for visiting Europe’s Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.,,,,,,,,,,,,,
BlackBerry,BlackBerry,The official BlackBerry account,,,,,,,,,,,,,
sonyxperia,Sony Xperia,Welcome to the official Twitter for Sony Mobile: the home of innovation and creation. Follow for the latest news and share your photos with #Xperia,,,,,,,,,,,,,
Riteishd,Riteish Deshmukh,"Life is a Drawing Board, Sharpen your pencil, dont forget the eraser.",,,,,,,,,,,,,
henrygayle,Chris Gayle,Universe-Boss / 'Chris d Lion',,,,,,,,,,,,,
virendersehwag,Virender Sehwag,"Indian Cricketer.
For Endorsements, Events ,Content, Social Media Work,Column call Amritanshu +91 9873690935
For Sehwag International School call +91 9711188700",,,,,,,,,,,,,
KP24,KP,,,,,,,,,,,,,,
RanveerOfficial,Ranveer Singh,Living the dream.......,,,,,,,,,,,,,
KapilSharmaK9,KAPIL,Actor...who loves to make ppl laugh... ..https://www.facebook.com/pages/Kapil-sharma/534383099925612?fref=ts,,,,,,,,,,,,,
Dell,Dell,Official news and tweets from Dell. Need Support? Tweet @DellCares; Business Support: @DellCaresPro; Global Support List: http://bit.ly/Dell_TwitterSupport,,,,,,,,,,,,,
S1dharthM,Sidharth Malhotra,Passionately Curious,,,,,,,,,,,,,
TheShilpaShetty,SHILPA SHETTY KUNDRA,"Full time Mother & Wife,part time Actor, Author of @greatindiandiet ,Yoga enthusiast Entrepreneur ,Founder of @Iosis Spa&Salons, @viaanmobiles & @SSFCare my NGO",,,,,,,,,,,,,
emirates,Emirates airline,The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7,,,,,,,,,,,,,
MirzaSania,Sania Mirza,Dreamer.Believer.Doer. Even against all odds./ @UN_Women Goodwill Ambassador for South Asia,,,,,,,,,,,,,
shrutihaasan,shruti haasan,"I believe I'm hot sauce ,chillies (green), minor chords ,black and white -surround sound and silence",,,,,,,,,,,,,
TwitPic,TwitPic,Share photos and videos on twitter,,,,,,,,,,,,,
qatarairways,Qatar Airways,"Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit http://qatarairways.com/tell-us",,,,,,,,,,,,,
ArvindKejriwal,Arvind Kejriwal,Political revolution in India has begun. Bharat jaldi badlega. Arvind Kejriwal.,,,,,,,,,,,,,
geneliad,Genelia Deshmukh,,,,,,,,,,,,,,
ICC,ICC,"The official twitter account of the International Cricket Council, world cricket’s governing body #CT17 Starts June 1st 2017",,,,,,,,,,,,,
wikileaks,WikiLeaks,"We open governments. 
Contact: https://wikileaks.org/#submit

PGP: A04C 5E09 ED02 B328 03EB 6116 93ED 732E 9231 8DBA",,,,,,,,,,,,,
thekiranbedi,Kiran Bedi,"LtGov.Puducherry,IPS (retd),Magsaysay Awardee,former UN Police Advisor,Asian Tennis Champ,Law,PhD-IIT,Nehru Fellow,Author,Voted Most Trusted,Admired Woman,2NGOs",,,,,,,,,,,,,
bomanirani,Boman Irani,work in progress,,,,,,,,,,,,,
Varun_dvn,Varun dhawan,"artist, the voice of the voiceless",,,,,,,,,,,,,
NatGeoChannel,Nat Geo Channel,Follow us for the latest on what's happening at the National Geographic Channel in the U.S. Questions and comments welcome!,,,,,,,,,,,,,
DeutscheBank,Deutsche Bank,"Information & dialogue on #finance & #economics
Netiquette: https://www.db.com/netiquette
#SocialMedia: https://www.db.com/SocialMedia
$DB #dbresearch #CIOView",,,,,,,,,,,,,
rampalarjun,arjun rampal,To touch is to heal. To hurt is to steal. Let's heal.,,,,,,,,,,,,,
TheFarahKhan,Farah Khan,"Film Director, Choreographer, Producer, now Actress & proud Mother of Triplets.",,,,,,,,,,,,,
MSFTnews,Microsoft News,The official Twitter page for Microsoft news. Your view from the inside.,,,,,,,,,,,,,
thesushmitasen,sushmita sen,I AM,,,,,,,,,,,,,
twitterapi,Twitter API,"The Real Twitter API. I tweet about API changes, service issues and happily answer questions about Twitter and our API. Don't get an answer? It's on my website.",,,,,,,,,,,,,
usopen,US Open Tennis,Official Twitter of the US Open Tennis Championships | 2016 Dates: 8/29 - 9/11 | Terms of Use: http://bit.ly/2bLWjNB | #usopen,,,,,,,,,,,,,
NargisFakhri,Nargis,Global Citizen,,,,,,,,,,,,,
ImRo45,Rohit Sharma,,,,,,,,,,,,,,
TwitterBooks,Twitter Books,"We tweet from Twitter, Inc. about books and the folks who write them. If you're an author on Twitter, we'd love to hear from you.",,,,,,,,,,,,,
ShaneWarne,Shane Warne,A proud father to 3 wonderful teenagers. Played cricket. Now cricket commentary. Cricket All Stars owner. Poker player & lover of 80's music. Single/Australian,,,,,,,,,,,,,
TimesNow,TIMES NOW,Times Now is India’s most watched English news channel. Follow us for breaking news & updates.,,,,,,,,,,,,,
IPL,IndianPremierLeague,Follow to get exclusive and real-time Indian Premier League news and updates.,,,,,,,,,,,,,
DaleSteyn62,Dale Steyn,Terrible guitar player...,,,,,,,,,,,,,
UNESCO,UNESCO,Building peace where it starts - in the minds of men & women. Follow our Director-General @IrinaBokova,,,,,,,,,,,,,
Office365,Office 365,"HD videoconferencing, Business-class email, Simplified IT management, Enterprise Social, Anywhere access to documents, Full Office – powered by @Microsoft",,,,,,,,,,,,,
sonunigam,Sonu Nigam,"- I am Nothing. Nothing Matters. Nothing, is everything",,,,,,,,,,,,,
verified,Verified Accounts,Accounts verified by Twitter.,,,,,,,,,,,,,
IMFNews,IMF,Breaking news and alerts from the International Monetary Fund.,,,,,,,,,,,,,
msdhoni,Mahendra Singh Dhoni,"Member TEAM INDIA, Biker, Gamer, hindi retro aficionado, an absolute pet-lover and perennially hungry for chicken butter masala",,,,,,,,,,,,,
Yahoo,Yahoo,"Yahoo's official Twitter, sharing the best of our network. For email help: @YahooCare.",,,,,,,,,,,,,
arjunk26,Arjun Kapoor,"Son, Brother, Friend, Actor ( all 4 work in progress)",,,,,,,,,,,,,
anandmahindra,anand mahindra,"Chairman and Managing Director, Mahindra Group",,,,,,,,,,,,,
AustralianOpen,Australian Open,"The official account of the Australian Open, Grand Slam of the Asia-Pacific 16-29 January 2017. Snapchat: Australian.Open #AusOpen",,,,,,,,,,,,,
BrettLee_58,Brett Lee,Former Cricketer,,,,,,,,,,,,,
HistoryInPics,History In Pictures,Sharing the most powerful and entertaining historical photographs ever taken.,,,,,,,,,,,,,
AnimalPlanet,AnimalPlanet,Official Twitter for Animal Planet US,,,,,,,,,,,,,
MSCloud,Microsoft Cloud,"The official Twitter handle for the Microsoft Platform team. Follow for news, updates, and much more. #MSCloud",,,,,,,,,,,,,
awscloud,Amazon Web Services,Official Twitter Feed for Amazon Web Services. New to the cloud? Start here: http://aws.amazon.com/what-is-cloud-computing/,,,,,,,,,,,,,
googleanalytics,Google Analytics,Google’s analytics solutions offer powerful and integrated measurement tools for today’s biggest enterprises. Learn more at http://google.com/analytics,,,,,,,,,,,,,
BCCI,BCCI,The Official Twitter Handle of Team India,,,,,,,,,,,,,
TheJohnAbraham,John Abraham,Actor,,,,,,,,,,,,,
ImZaheer,zaheer khan,"Cricketer | Fitness Enthusiast | Owner of ProSport Fitness| Co-Owner of Toss, Dine Fine| Cheese Cake Lover| Playing for DD in IPL8 | Love Mumbai|",,,,,,,,,,,,,
superstarrajini,Rajinikanth,The official handle of Superstar Rajinikanth,,,,,,,,,,,,,
mangeshkarlata,Lata Mangeshkar,playback singer since 1942. https://www.facebook.com/LataMangeshkar,,,,,,,,,,,,,
ESPNcricinfo,ESPNcricinfo,"The home of cricket. https://www.facebook.com/Cricinfo/
https://www.instagram.com/espncricinfo/",,,,,,,,,,,,,
htTweets,Hindustan Times,One of India's largest media companies. Latest news from around the world. Retweets are not endorsements.,,,,,,,,,,,,,
Ileana_Official,Ileana D'Cruz,"Actor, Goofball, Beach Bum, Tiramisu Maker & Professional Bathroom Singer. Hi Mama! :p",,,,,,,,,,,,,
arunjaitley,Arun Jaitley,"Minister of Finance & Corporate Affairs, Government of India",,,,,,,,,,,,,
ayushmannk,Ayushmann Khurrana,Instagram - https://www.instagram.com/ayushmannk/,,,,,,,,,,,,,
lenovo,Lenovo,"What’s next? The simple thought that drives all our technology. Follow our journey. #Lenovo, Innovation Never Stands Still.",,,,,,,,,,,,,
SunidhiChauhan5,Sunidhi Chauhan,"Singer, performer",,,,,,,,,,,,,
bhogleharsha,Harsha Bhogle,Blessed. Enjoy till it lasts.   http://harshabhogle.com,,,,,,,,,,,,,
LaraDutta,Lara Dutta Bhupathi,"One head, many hats!",,,,,,,,,,,,,
ScienceNews,Science News,Covering the latest news in all fields of science. Tweets by @wwrfd and @Kate_Travis. Publisher @society4science. See also @SNStudents.,,,,,,,,,,,,,
harbhajan_singh,Harbhajan Singh,"proud father to a princess,Indian http://Cricketer.contact Bhajjirocks@gmail.com for any official/sports/business",,,,,,,,,,,,,
shreyaghoshal,Shreya Ghoshal,A flower child. Sings the tune of love.,,,,,,,,,,,,,
Airbus,Airbus,"A global team designing, manufacturing and supporting the world's leading aircraft... with passengers at heart and airlines in mind.",,,,,,,,,,,,,
IndiaToday,India Today,"Brings you news breaks:Exclusive political, entertainment, sports insight, unbiased-nonaligned


Follow us @IndiaToday

Official URL: http://indiatoday.in",,,,,,,,,,,,,
twittermobile,Twitter Mobile,"This account is no longer in use. For Twitter mobile product news, please follow @twitter.",,,,,,,,,,,,,
androidcentral,Android Central,Android for Everyone. The best of the best from @AndroidCentral. For ALL news follow @ac_headlines. Send tips to actips@androidcentral.com.,,,,,,,,,,,,,
UNDP,UN Development,The United Nations Development Programme helps empower lives & build resilient nations. Follow @HelenClarkUNDP @PNUD @PNUDFR & more: http://on.undp.org/JAhO2,,,,,,,,,,,,,
asliyoyo,Yo Yo Honey Singh,APKA APNA YOYO HONEY SINGHAAAA,,,,,,,,,,,,,
bing,Bing,"The better technology can adapt to you, the more you can be yourself. #DoGreatThings http://www.bing.com",,,,,,,,,,,,,
Javedakhtarjadu,Javed Akhtar,"A poet, lyricist, scriptwriter, atheist and a die-hard optimist",,,,,,,,,,,,,
GreatestQuotes,Great Minds Quotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinead Duffy, Hypnotherapist & Psychotherapist",,,,,,,,,,,,,
dhanushkraja,Dhanush,Actor,,,,,,,,,,,,,
NehaDhupia,Neha Dhupia,"Actor , Producer @biggirlpvtltd",,,,,,,,,,,,,
ashwinravi99,Ashwin Ravichandran,Professional cricketer - represent the Indian cricket team and Tamil Nadu.,,,,,,,,,,,,,
MClarke23,Michael Clarke,,,,,,,,,,,,,,
SushmaSwaraj,Sushma Swaraj,Minister of External affairs,,,,,,,,,,,,,
humasqureshi,Huma Qureshi,"Actor, writer, traveller, foodie, passionate, foolish, all heart leonine ...",,,,,,,,,,,,,
GoogleforWork,Google for Work,The official Twitter home of Google for Work,,,,,,,,,,,,,
PDChina,"People's Daily,China","The largest newspaper group in China; Timely updates 
https://www.youtube.com/c/peoplesdaily https://fb.me/PeoplesDaily",,,,,,,,,,,,,
TwitterForNews,Twitter for News,Spotlighting best practices and innovative uses of Twitter by journalists and newsrooms.,,,,,,,,,,,,,
YUVSTRONG12,yuvraj singh,ball smacker! and a piechucker,,,,,,,,,,,,,
filmfare,Filmfare,India's no.1 lifestyle and entertainment magazine and your daily dose of films and fashion.,,,,,,,,,,,,,
ray_ban,Ray-Ban,Genuine Since 1937,,,,,,,,,,,,,
iam_juhi,Juhi Chawla,"Actress, Mother, Entrepreneur, Activist, budding Farmer, Environmentalist, Yoga enthusiast.... and miles to go before I sleep ....",,,,,,,,,,,,,
EtihadAirways,Etihad Airways,"Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp",,,,,,,,,,,,,
AnaIvanovic,Ana Ivanovic,Everything that kills me makes me feel alive,,,,,,,,,,,,,
MadhuriDixit,Madhuri Dixit-Nene,Constantly finding ways to connect with the world. Loving the Twitter Universe!,,,,,,,,,,,,,
sardesairajdeep,Rajdeep Sardesai,"father, friend first.Journalist, anchor, author: 2014: The Election That Changed India. mail: rajdeepsardesai52@gmail.com. blog at http://rajdeepsardesai.net",,,,,,,,,,,,,
smritiirani,Smriti Z Irani,"Union Cabinet Minister of Textiles, Government of India. Member of Parliament, Rajya Sabha representing the state of Gujarat.",,,,,,,,,,,,,
Azure,Microsoft Azure,The official account for Microsoft Azure. Follow for news and updates from the team and community.,,,,,,,,,,,,,
yamigautam,Yami Gautam,Actor.,,,,,,,,,,,,,
TwitterIndia,Twitter India,?????? - The official Twitter India account,,,,,,,,,,,,,
the_hindu,The Hindu,News feeds from India's National Newspaper,,,,,,,,,,,,,
CNNnews18,News18,Latest news alerts from India,,,,,,,,,,,,,
ameesha_patel,ameesha patel,Real person first actor later. follow me on Instagram Ameeshapatel9,,,,,,,,,,,,,
Moto_USA,Moto US,"This summer, everything changes in a snap.

Tech support: http://moto.ly/support or @Moto_Support.",,,,,,,,,,,,,
realpreityzinta,Preity zinta,"Actor, Producer, Writer, Entrepreneur , Human Being and Cricket fan!",,,,,,,,,,,,,
IndianExpress,The Indian Express,"The Indian Express brings to you latest news from India and the world, breaking round the clock. The 'Journalism of Courage' starts here.",,,,,,,,,,,,,
windowsdev,Windows Developer,"Everything you need to know to develop great apps, games and other experiences for Windows on PCs, phones, IoT, Xbox & HoloLens",,,,,,,,,,,,,
MaheshNBhatt,Mahesh Bhatt,"Film Maker, Author, Nomad with no destination. I don't have any thoughts which I can call my own--not one thought, not one word, not one experience.",,,,,,,,,,,,,
WesternUnion,Western Union,"World Wide Money Transfer, Payment Services, Mobile Money -- 
Join us on Facebook!  http://facebook.com/WesternUnion",,,,,,,,,,,,,
BDUTT,barkha dutt,Barkha Rani JamKe Barasti Hai. Cloudburst. Journalist. Dreams of being a Lawyer. Argumentative! Yaaron Ka Yaar.,,,,,,,,,,,,,
surface,Surface,"Welcome to the official Twitter page for Microsoft Surface. For technical support, tweet @SurfaceSupport.",,,,,,,,,,,,,
ihansika,Hansika,Actor,,,,,,,,,,,,,
googlecloud,GoogleCloudPlatform,"Building tools for modern applications, making developers more productive, and giving you the power to build on Google's computing infrastructure.",,,,,,,,,,,,,
ashabhosle,ashabhosle,Singer since 1943,,,,,,,,,,,,,
davidwarner31,David Warner,"Australian cricketer, enjoys life, loves golf, keen interest in horse racing. Husband to Candice, father of two beautiful girls Ivy Mae, Indi Rae.",,,,,,,,,,,,,
PDdancing,Prabhudheva,,,,,,,,,,,,,,
ShashiTharoor,Shashi Tharoor,"MP for Thiruvananthapuram. Author of 15 books. Former Minister of State,Govt.of India.  Former UnderSecretaryGeneral,UnitedNations. RTs do not imply endorsement",,,,,,,,,,,,,
deespeak,Dia Mirza,"Actor, Producer, Nature Lover, Dreamer, Seeker, Learner... Director - Born Free Entertainment Pvt. Ltd #KidsForTigers http://bit.ly/KidsForTiger",,,,,,,,,,,,,
Actor_Siddharth,Siddharth,Indian. Actor. Producer. Musician. Believer. I am because i try.,,,,,,,,,,,,,
trishtrashers,Trisha Krishnan,There's no competition when your manifesting your own lane,,,,,,,,,,,,,
MuhammadAli,Muhammad Ali,Tweets Originating from The Champ Himself Have the Hashtag #AliTweet,,,,,,,,,,,,,
ArshadWarsi,Arshad Warsi,"GOOD AT COOKING, CLEANING & IMPRESSING KIDS BELOW 5, WHEN FREE I TRY & ACT IN FILMS.",,,,,,,,,,,,,
AnilKapoor,Jai Singh Rathore,"Actor, Producer, Husband, Father...and now an RJ too!",,,,,,,,,,,,,
vivek_oberoi,Vivek Anand Oberoi,"Bollywood Actor,Social worker, adventure sports enthusiast, poet,Pilot, Dreamer....",,,,,,,,,,,,,
Intelinvolved,IntelInvolved,Connecting & enriching lives worldwide to create a better future through technology. Tweets by @MarciaHansen http://blogs.intel.com/csr,,,,,,,,,,,,,
jacqueskallis75,Jacques Kallis,South African Cricketer,,,,,,,,,,,,,
mallikasherawat,Mallika Sherawat,Bollywood star;) http://facebook.com/MallikaSherawat http://Instagram.com/mallikasherawat,,,,,,,,,,,,,
GautamGambhir,Gautam Gambhir,Father. Cricketer. Patriot.,,,,,,,,,,,,,
SinghaniaGautam,Gautam Singhania,"Chairman and Managing Director @TheRaymondLtd.  Founder of the Super Car Club of India. Passionate about cars, planes and yachts.",,,,,,,,,,,,,
EconomicTimes,EconomicTimes,The No. 1 Business Daily in India brings you the latest #news updates and LIVE coverage of #politics #economy #markets #technology | RTs are not endorsements,,,,,,,,,,,,,
rajnathsingh,Rajnath Singh,"Minister of Home Affairs, Government of India, INDIA",,,,,,,,,,,,,
harleydavidson,Harley-Davidson,The official Twitter feed for the Harley-Davidson Motor Company. We fulfill dreams of personal freedom.,,,,,,,,,,,,,
Samanthaprabhu2,Samantha Ruth Prabhu,Actor,,,,,,,,,,,,,
TataCompanies,Tata Group,"Official Twitter Channel of the Tata Group.      
@TataCompanies keeps you informed and updated on what’s happening in the Tata group of companies.",,,,,,,,,,,,,
BoeingAirplanes,Boeing Airplanes,"Official Twitter of Boeing Commercial Airplanes - 
We design, build and support a family of technologically advanced commercial jets",,,,,,,,,,,,,
MTVIndia,MTV India,We are the TV channel your Mom warned you about.,,,,,,,,,,,,,
Flipkart,Flipkart,"India's favourite online shopping destination - http://www.flipkart.com!
For customer support connect with @flipkartsupport",,,,,,,,,,,,,
makeinindia,Make in India,"A major national program designed to facilitate investment, foster innovation, enhance skill development and build best-in-class manufacturing infrastructure.",,,,,,,,,,,,,
EyeOfJackieChan,Jackie Chan,Follow my adventures!,,,,,,,,,,,,,
satyanadella,Satya Nadella,CEO of Microsoft Corporation,,,,,,,,,,,,,
GraemeSmith49,Graeme Smith,proudly South African....,,,,,,,,,,,,,
